Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,38041754
"Population, total",SP.POP.TOTL,Albania,ALB,2854191
"Population, total",SP.POP.TOTL,Algeria,DZA,43053054
"Population, total",SP.POP.TOTL,American Samoa,ASM,55312
"Population, total",SP.POP.TOTL,Andorra,AND,77142
"Population, total",SP.POP.TOTL,Angola,AGO,31825295
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,97118
"Population, total",SP.POP.TOTL,Argentina,ARG,44938712
"Population, total",SP.POP.TOTL,Armenia,ARM,2957731
"Population, total",SP.POP.TOTL,Aruba,ABW,106314
"Population, total",SP.POP.TOTL,Australia,AUS,25364307
"Population, total",SP.POP.TOTL,Austria,AUT,8877067
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,10023318
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,389482
"Population, total",SP.POP.TOTL,Bahrain,BHR,1641172
"Population, total",SP.POP.TOTL,Bangladesh,BGD,163046161
"Population, total",SP.POP.TOTL,Barbados,BRB,287025
"Population, total",SP.POP.TOTL,Belarus,BLR,9466856
"Population, total",SP.POP.TOTL,Belgium,BEL,11484055
"Population, total",SP.POP.TOTL,Belize,BLZ,390353
"Population, total",SP.POP.TOTL,Benin,BEN,11801151
"Population, total",SP.POP.TOTL,Bermuda,BMU,63918
"Population, total",SP.POP.TOTL,Bhutan,BTN,763092
"Population, total",SP.POP.TOTL,Bolivia,BOL,11513100
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3301000
"Population, total",SP.POP.TOTL,Botswana,BWA,2303697
"Population, total",SP.POP.TOTL,Brazil,BRA,211049527
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,30030
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,433285
"Population, total",SP.POP.TOTL,Bulgaria,BGR,6975761
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,20321378
"Population, total",SP.POP.TOTL,Burundi,BDI,11530580
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,549935
"Population, total",SP.POP.TOTL,Cambodia,KHM,16486542
"Population, total",SP.POP.TOTL,Cameroon,CMR,25876380
"Population, total",SP.POP.TOTL,Canada,CAN,37589262
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,64948
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4745185
"Population, total",SP.POP.TOTL,Chad,TCD,15946876
"Population, total",SP.POP.TOTL,Channel Islands,CHI,172259
"Population, total",SP.POP.TOTL,Chile,CHL,18952038
"Population, total",SP.POP.TOTL,China,CHN,1397715000
"Population, total",SP.POP.TOTL,Colombia,COL,50339443
"Population, total",SP.POP.TOTL,Comoros,COM,850886
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,86790567
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,5380508
"Population, total",SP.POP.TOTL,Costa Rica,CRI,5047561
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,25716544
"Population, total",SP.POP.TOTL,Croatia,HRV,4067500
"Population, total",SP.POP.TOTL,Cuba,CUB,11333483
"Population, total",SP.POP.TOTL,Curacao,CUW,157538
"Population, total",SP.POP.TOTL,Cyprus,CYP,1198575
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10669709
"Population, total",SP.POP.TOTL,Denmark,DNK,5818553
"Population, total",SP.POP.TOTL,Djibouti,DJI,973560
"Population, total",SP.POP.TOTL,Dominica,DMA,71808
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10738958
"Population, total",SP.POP.TOTL,Ecuador,ECU,17373662
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,100388073
"Population, total",SP.POP.TOTL,El Salvador,SLV,6453553
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1355986
"Population, total",SP.POP.TOTL,Eritrea,ERI,3497117
"Population, total",SP.POP.TOTL,Estonia,EST,1326590
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1148130
"Population, total",SP.POP.TOTL,Ethiopia,ETH,112078730
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48678
"Population, total",SP.POP.TOTL,Fiji,FJI,889953
"Population, total",SP.POP.TOTL,Finland,FIN,5520314
"Population, total",SP.POP.TOTL,France,FRA,67059887
"Population, total",SP.POP.TOTL,French Polynesia,PYF,279287
"Population, total",SP.POP.TOTL,Gabon,GAB,2172579
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2347706
"Population, total",SP.POP.TOTL,Georgia,GEO,3720382
"Population, total",SP.POP.TOTL,Germany,DEU,83132799
"Population, total",SP.POP.TOTL,Ghana,GHA,30417856
"Population, total",SP.POP.TOTL,Gibraltar,GIB,33701
"Population, total",SP.POP.TOTL,Greece,GRC,10716322
"Population, total",SP.POP.TOTL,Greenland,GRL,56225
"Population, total",SP.POP.TOTL,Grenada,GRD,112003
"Population, total",SP.POP.TOTL,Guam,GUM,167294
"Population, total",SP.POP.TOTL,Guatemala,GTM,16604026
"Population, total",SP.POP.TOTL,Guinea,GIN,12771246
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1920922
"Population, total",SP.POP.TOTL,Guyana,GUY,782766
"Population, total",SP.POP.TOTL,Haiti,HTI,11263077
"Population, total",SP.POP.TOTL,Honduras,HND,9746117
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7507400
"Population, total",SP.POP.TOTL,Hungary,HUN,9769949
"Population, total",SP.POP.TOTL,Iceland,ISL,361313
"Population, total",SP.POP.TOTL,India,IND,1366417754
"Population, total",SP.POP.TOTL,Indonesia,IDN,270625568
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,82913906
"Population, total",SP.POP.TOTL,Iraq,IRQ,39309783
"Population, total",SP.POP.TOTL,Ireland,IRL,4941444
"Population, total",SP.POP.TOTL,Isle of Man,IMN,84584
"Population, total",SP.POP.TOTL,Israel,ISR,9053300
"Population, total",SP.POP.TOTL,Italy,ITA,60297396
"Population, total",SP.POP.TOTL,Jamaica,JAM,2948279
"Population, total",SP.POP.TOTL,Japan,JPN,126264931
"Population, total",SP.POP.TOTL,Jordan,JOR,10101694
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,18513930
"Population, total",SP.POP.TOTL,Kenya,KEN,52573973
"Population, total",SP.POP.TOTL,Kiribati,KIR,117606
"Population, total",SP.POP.TOTL,"Korea, Dem. People’s Rep.",PRK,25666161
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51709098
"Population, total",SP.POP.TOTL,Kosovo,XKX,1794248
"Population, total",SP.POP.TOTL,Kuwait,KWT,4207083
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,6456900
"Population, total",SP.POP.TOTL,Lao PDR,LAO,7169455
"Population, total",SP.POP.TOTL,Latvia,LVA,1912789
"Population, total",SP.POP.TOTL,Lebanon,LBN,6855713
"Population, total",SP.POP.TOTL,Lesotho,LSO,2125268
"Population, total",SP.POP.TOTL,Liberia,LBR,4937374
"Population, total",SP.POP.TOTL,Libya,LBY,6777452
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,38019
"Population, total",SP.POP.TOTL,Lithuania,LTU,2786844
"Population, total",SP.POP.TOTL,Luxembourg,LUX,619896
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,640445
"Population, total",SP.POP.TOTL,Madagascar,MDG,26969307
"Population, total",SP.POP.TOTL,Malawi,MWI,18628747
"Population, total",SP.POP.TOTL,Malaysia,MYS,31949777
"Population, total",SP.POP.TOTL,Maldives,MDV,530953
"Population, total",SP.POP.TOTL,Mali,MLI,19658031
"Population, total",SP.POP.TOTL,Malta,MLT,502653
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,58791
"Population, total",SP.POP.TOTL,Mauritania,MRT,4525696
"Population, total",SP.POP.TOTL,Mauritius,MUS,1265711
"Population, total",SP.POP.TOTL,Mexico,MEX,127575529
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,113815
"Population, total",SP.POP.TOTL,Moldova,MDA,2657637
"Population, total",SP.POP.TOTL,Monaco,MCO,38964
"Population, total",SP.POP.TOTL,Mongolia,MNG,3225167
"Population, total",SP.POP.TOTL,Montenegro,MNE,622137
"Population, total",SP.POP.TOTL,Morocco,MAR,36471769
"Population, total",SP.POP.TOTL,Mozambique,MOZ,30366036
"Population, total",SP.POP.TOTL,Myanmar,MMR,54045420
"Population, total",SP.POP.TOTL,Namibia,NAM,2494530
"Population, total",SP.POP.TOTL,Nauru,NRU,12581
"Population, total",SP.POP.TOTL,Nepal,NPL,28608710
"Population, total",SP.POP.TOTL,Netherlands,NLD,17332850
"Population, total",SP.POP.TOTL,New Caledonia,NCL,287800
"Population, total",SP.POP.TOTL,New Zealand,NZL,4917000
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6545502
"Population, total",SP.POP.TOTL,Niger,NER,23310715
"Population, total",SP.POP.TOTL,Nigeria,NGA,200963599
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2083459
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,57216
"Population, total",SP.POP.TOTL,Norway,NOR,5347896
"Population, total",SP.POP.TOTL,Oman,OMN,4974986
"Population, total",SP.POP.TOTL,Pakistan,PAK,216565318
"Population, total",SP.POP.TOTL,Palau,PLW,18008
"Population, total",SP.POP.TOTL,Panama,PAN,4246439
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,8776109
"Population, total",SP.POP.TOTL,Paraguay,PRY,7044636
"Population, total",SP.POP.TOTL,Peru,PER,32510453
"Population, total",SP.POP.TOTL,Philippines,PHL,108116615
"Population, total",SP.POP.TOTL,Poland,POL,37970874
"Population, total",SP.POP.TOTL,Portugal,PRT,10269417
